sample,cell_type,cell_group,sex,replicate
DZQV_CD8_naive,naive CD8 T cell,T cell,M,r4
DZQV_CD8_CM,central memory CD8 T cell,T cell,M,r4
DZQV_CD8_EM,effector memory CD8 T cell,T cell,M,r4
DZQV_CD8_TE,terminal effector CD8 T cell,T cell,M,r4
DZQV_MAIT,MAIT cell,T cell,M,r4
DZQV_VD2,Vd2 gd T cell,T cell,M,r4
DZQV_nVD2,non_Vd2 gd T cell,T cell,M,r4
DZQV_TFH,follicular helper T cell,T cell,M,r4
DZQV_Treg,regulatory T cell,T cell,M,r4
DZQV_Th1,Th1 cell,T cell,M,r4
DZQV_Th1_Th17,Th1_Th17 cell,T cell,M,r4
DZQV_Th17,Th17 cell,T cell,M,r4
DZQV_Th2,Th2 cell,T cell,M,r4
DZQV_CD4_naive,naive CD4 T cell,T cell,M,r4
DZQV_Progenitor,progenitor cell,progenitor cell,M,r4
DZQV_B_naive,naive B cell,B cell,M,r4
DZQV_B_NSM,non_switched memory B cell,B cell,M,r4
DZQV_B_Ex,exhausted B cell,B cell,M,r4
DZQV_B_SM,switched memory B cell,B cell,M,r4
DZQV_Plasmablasts,plasmablast,B cell,M,r4
DZQV_C_mono,classical monocyte,monocyte,M,r4
DZQV_I_mono,intermediate monocyte,monocyte,M,r4
DZQV_NC_mono,non_classical monocyte,monocyte,M,r4
DZQV_NK,natural killer cell,NK cell,M,r4
DZQV_pDC,plasmacytoid dendritic cell,DC cell,M,r4
DZQV_mDC,myeloid dendritic cell,DC cell,M,r4
DZQV_Neutrophils,neutrophil,granulocyte,M,r4
DZQV_Basophils,basophil,granulocyte,M,r4
925L_CD8_naive,naive CD8 T cell,T cell,M,r2
925L_CD8_CM,central memory CD8 T cell,T cell,M,r2
925L_CD8_EM,effector memory CD8 T cell,T cell,M,r2
925L_CD8_TE,terminal effector CD8 T cell,T cell,M,r2
925L_MAIT,MAIT cell,T cell,M,r2
925L_VD2,Vd2 gd T cell,T cell,M,r2
925L_nVD2,non_Vd2 gd T cell,T cell,M,r2
925L_TFH,follicular helper T cell,T cell,M,r2
925L_Treg,regulatory T cell,T cell,M,r2
925L_Th1,Th1 cell,T cell,M,r2
925L_Th1_Th17,Th1_Th17 cell,T cell,M,r2
925L_Th17,Th17 cell,T cell,M,r2
925L_Th2,Th2 cell,T cell,M,r2
925L_CD4_naive,naive CD4 T cell,T cell,M,r2
925L_CD4_TE,terminal effector CD4 T cell,T cell,M,r2
925L_Progenitor,progenitor cell,progenitor cell,M,r2
925L_B_naive,naive B cell,B cell,M,r2
925L_B_NSM,non_switched memory B cell,B cell,M,r2
925L_B_Ex,exhausted B cell,B cell,M,r2
925L_B_SM,switched memory B cell,B cell,M,r2
925L_Plasmablasts,plasmablast,B cell,M,r2
925L_C_mono,classical monocyte,monocyte,M,r2
925L_I_mono,intermediate monocyte,monocyte,M,r2
925L_NC_mono,non_classical monocyte,monocyte,M,r2
925L_NK,natural killer cell,NK cell,M,r2
925L_pDC,plasmacytoid dendritic cell,DC cell,M,r2
925L_mDC,myeloid dendritic cell,DC cell,M,r2
925L_Neutrophils,neutrophil,granulocyte,M,r2
925L_Basophils,basophil,granulocyte,M,r2
9JD4_CD8_naive,naive CD8 T cell,T cell,F,r1
9JD4_CD8_CM,central memory CD8 T cell,T cell,F,r1
9JD4_CD8_EM,effector memory CD8 T cell,T cell,F,r1
9JD4_CD8_TE,terminal effector CD8 T cell,T cell,F,r1
9JD4_MAIT,MAIT cell,T cell,F,r1
9JD4_VD2,Vd2 gd T cell,T cell,F,r1
9JD4_nVD2,non_Vd2 gd T cell,T cell,F,r1
9JD4_TFH,follicular helper T cell,T cell,F,r1
9JD4_Treg,regulatory T cell,T cell,F,r1
9JD4_Th1,Th1 cell,T cell,F,r1
9JD4_Th1_Th17,Th1_Th17 cell,T cell,F,r1
9JD4_Th17,Th17 cell,T cell,F,r1
9JD4_Th2,Th2 cell,T cell,F,r1
9JD4_CD4_naive,naive CD4 T cell,T cell,F,r1
9JD4_CD4_TE,terminal effector CD4 T cell,T cell,F,r1
9JD4_Progenitor,progenitor cell,progenitor cell,F,r1
9JD4_B_naive,naive B cell,B cell,F,r1
9JD4_B_NSM,non_switched memory B cell,B cell,F,r1
9JD4_B_Ex,exhausted B cell,B cell,F,r1
9JD4_B_SM,switched memory B cell,B cell,F,r1
9JD4_Plasmablasts,plasmablast,B cell,F,r1
9JD4_C_mono,classical monocyte,monocyte,F,r1
9JD4_I_mono,intermediate monocyte,monocyte,F,r1
9JD4_NC_mono,non_classical monocyte,monocyte,F,r1
9JD4_NK,natural killer cell,NK cell,F,r1
9JD4_pDC,plasmacytoid dendritic cell,DC cell,F,r1
9JD4_mDC,myeloid dendritic cell,DC cell,F,r1
9JD4_Neutrophils,neutrophil,granulocyte,F,r1
9JD4_Basophils,basophil,granulocyte,F,r1
G4YW_CD8_naive,naive CD8 T cell,T cell,F,r3
G4YW_CD8_CM,central memory CD8 T cell,T cell,F,r3
G4YW_CD8_EM,effector memory CD8 T cell,T cell,F,r3
CYFZ_PBMC,PBMC,PBMC,M,r9
FY2H_PBMC,PBMC,PBMC,M,r8
FLWA_PBMC,PBMC,PBMC,M,r10
453W_PBMC,PBMC,PBMC,M,r5
684C_PBMC,PBMC,PBMC,F,r6
CZJE_PBMC,PBMC,PBMC,M,r7
G4YW_CD8_TE,terminal effector CD8 T cell,T cell,F,r3
G4YW_MAIT,MAIT cell,T cell,F,r3
G4YW_VD2,Vd2 gd T cell,T cell,F,r3
G4YW_nVD2,non_Vd2 gd T cell,T cell,F,r3
G4YW_TFH,follicular helper T cell,T cell,F,r3
G4YW_Treg,regulatory T cell,T cell,F,r3
G4YW_Th1,Th1 cell,T cell,F,r3
G4YW_Th1_Th17,Th1_Th17 cell,T cell,F,r3
G4YW_Th17,Th17 cell,T cell,F,r3
G4YW_Th2,Th2 cell,T cell,F,r3
G4YW_CD4_naive,naive CD4 T cell,T cell,F,r3
G4YW_Progenitor,progenitor cell,progenitor cell,F,r3
G4YW_B_naive,naive B cell,B cell,F,r3
G4YW_B_NSM,non_switched memory B cell,B cell,F,r3
G4YW_B_Ex,exhausted B cell,B cell,F,r3
G4YW_B_SM,switched memory B cell,B cell,F,r3
G4YW_Plasmablasts,plasmablast,B cell,F,r3
G4YW_C_mono,classical monocyte,monocyte,F,r3
G4YW_I_mono,intermediate monocyte,monocyte,F,r3
G4YW_NC_mono,non_classical monocyte,monocyte,F,r3
G4YW_NK,natural killer cell,NK cell,F,r3
G4YW_pDC,plasmacytoid dendritic cell,DC cell,F,r3
G4YW_mDC,myeloid dendritic cell,DC cell,F,r3
G4YW_Neutrophils,neutrophil,granulocyte,F,r3
G4YW_Basophils,basophil,granulocyte,F,r3
DZQV_PBMC,PBMC,PBMC,M,r4
925L_PBMC,PBMC,PBMC,M,r2
9JD4_PBMC,PBMC,PBMC,F,r1
G4YW_PBMC,PBMC,PBMC,F,r3
4DUY_PBMC,PBMC,PBMC,M,r11
36TS_PBMC,PBMC,PBMC,M,r12
CR3L_PBMC,PBMC,PBMC,F,r13
